Category,Model,Model Year,Manufacturer,Fuel,All-Electric Range,Alternative Fuel Economy Combined,Conventional Fuel Economy Combined,Transmission Type,Engine Size
Sedan/Wagon,Escape AWD HEV,2021,Ford,Hybrid Electric,,,40.0,Automatic,2.5L I4
Sedan/Wagon,Escape FWD HEV,2021,Ford,Hybrid Electric,,,41.0,Automatic,2.5L I4
SUV,Escape FWD PHEV,2021,Ford,Plug-in Hybrid Electric,37.0,105.0,40.0,Automatic,2.5L
SUV,Explorer AWD FFV,2021,Ford,Ethanol (E85),,13.0,19.0,Automatic,3.3L
SUV,Explorer HEV AWD,2021,Ford,Hybrid Electric,,,25.0,Automatic,3.3L V6
SUV,Explorer HEV RWD,2021,Ford,Hybrid Electric,,,27.0,Automatic,3.3L V6
Pickup,F-150 2WD,2021,Ford,Biodiesel (B20),,,23.0,Automatic,3.0L
Pickup,F-150 2WD FFV,2021,Ford,Ethanol (E85),,16.0,21.0,Automatic,3.3L
Pickup,F-150 4WD,2021,Ford,Biodiesel (B20),,,23.0,Automatic,3.0L
Pickup,F-150 4WD FFV,2021,Ford,Ethanol (E85),,15.0,20.0,Automatic,3.3L
Pickup,F150 Pickup 2WD HEV,2021,Ford,Hybrid Electric,,,25.0,Automatic,3.5L V6
Pickup,F150 Pickup 4WD HEV,2021,Ford,Hybrid Electric,,,24.0,Automatic,3.5L V6
Sedan/Wagon,Mustang Mach-E AWD,2021,Ford,Electric,211.0,93.0,,Automatic,198 kW electric motor
Sedan/Wagon,Mustang Mach-E AWD Extended,2021,Ford,Electric,270.0,90.0,,Automatic,209 kW electric motor
Sedan/Wagon,Mustang Mach-E GT AWD,2021,Ford,Electric,270.0,84.0,,Automatic,179  kW electric motors (X2)
Sedan/Wagon,Mustang Mach-E RWD,2021,Ford,Electric,230.0,100.0,,Automatic,198 kW electric motor
Sedan/Wagon,Mustang Mach-E RWD California Route 1,2021,Ford,Electric,305.0,101.0,,Automatic,216 kW electric motor
Sedan/Wagon,Mustang Mach-E RWD Extended,2021,Ford,Electric,300.0,97.0,,Automatic,216 kW electric motor
Van,Transit Connect Van FFV,2021,Ford,Ethanol (E85),,19.0,25.0,Automatic,2.0L
Passenger Van/Shuttle Bus,Transit Connect Wagon LWB FFV,2021,Ford,Ethanol (E85),,19.0,26.0,Automatic,2.0L
Passenger Van/Shuttle Bus,Transit T150 Passenger Van 2WD FFV,2021,Ford,Ethanol (E85),,12.0,16.0,Automatic,3.5L
Passenger Van/Shuttle Bus,Transit T150 Passenger Van 4WD FFV,2021,Ford,Ethanol (E85),,12.0,16.0,Automatic,3.5L
Pickup,Canyon 2WD,2021,GMC,Biodiesel (B20),,,23.0,Automatic,2.8L
Pickup,Canyon 4WD,2021,GMC,Biodiesel (B20),,,22.0,Automatic,2.8L
Pickup,Sierra 2WD,2021,GMC,Biodiesel (B20),,,26.0,Automatic,3.0L
Pickup,Sierra 2WD,2021,GMC,Ethanol (E85),,12.0,16.0,Automatic,5.3L
Pickup,Sierra 4WD,2021,GMC,Biodiesel (B20),,,24.0,Automatic,3.0L
Pickup,Sierra 4WD,2021,GMC,Ethanol (E85),,12.0,16.0,Automatic,5.3L
Pickup,Sierra 4WD AT4,2021,GMC,Biodiesel (B20),,,24.0,Automatic,3.0L
SUV,Yukon 2WD,2021,GMC,Biodiesel (B20),,,23.0,Automatic,3.0L
SUV,Yukon 4WD,2021,GMC,Biodiesel (B20),,,22.0,Automatic,3.0L
SUV,Yukon XL 2WD,2021,GMC,Biodiesel (B20),,,23.0,Automatic,3.0L
SUV,Yukon XL 4WD,2021,GMC,Biodiesel (B20),,,22.0,Automatic,3.0L
Sedan/Wagon,Accord,2021,Honda,Hybrid Electric,,,48.0,Automatic,2.0L
Sedan/Wagon,Accord Sport/Touring,2021,Honda,Hybrid Electric,,,43.0,Automatic,2.0L
Sedan/Wagon,Clarity,2021,Honda,Hydrogen Fuel Cell,,68.0,,Automatic,130 kW electric motor
Sedan/Wagon,Clarity PHEV,2021,Honda,Plug-in Hybrid Electric,48.0,110.0,42.0,Automatic,1.5L
SUV,CR-V AWD,2021,Honda,Hybrid Electric,,,38.0,Automatic,2.0L
Sedan/Wagon,Insight,2021,Honda,Hybrid Electric,,,52.0,Automatic,1.5L
Sedan/Wagon,Insight Touring,2021,Honda,Hybrid Electric,,,48.0,Automatic,1.5L
Sedan/Wagon,Elantra Hybrid,2021,Hyundai,Hybrid Electric,,,50.0,Automatic,1.6L
Sedan/Wagon,Elantra Hybrid Blue,2021,Hyundai,Hybrid Electric,,,54.0,Automatic,1.6L
Sedan/Wagon,Ioniq,2021,Hyundai,Hybrid Electric,,,55.0,Automatic,1.6L
Sedan/Wagon,Ioniq Blue,2021,Hyundai,Hybrid Electric,,,59.0,Automatic,1.6L
Sedan/Wagon,Ioniq Electric,2021,Hyundai,Electric,170.0,133.0,,Automatic,100 kW electric motor
Sedan/Wagon,Ioniq Plug-in Hybrid,2021,Hyundai,Plug-in Hybrid Electric,29.0,119.0,52.0,Automatic,1.6L
SUV,Kona Electric,2021,Hyundai,Electric,258.0,120.0,,Automatic,150 kW electric motor
SUV,Nexo,2021,Hyundai,Hydrogen Fuel Cell,,57.0,,Automatic,120 kW electric motor
SUV,Nexo Blue,2021,Hyundai,Hydrogen Fuel Cell,,61.0,,Automatic,120 kW electric motor
Sedan/Wagon,Santa Fe Hybrid,2021,Hyundai,Hybrid Electric,,,32.0,Automatic,1.6L
Sedan/Wagon,Santa Fe Hybrid Blue,2021,Hyundai,Hybrid Electric,,,34.0,Automatic,1.6L
Sedan/Wagon,Sonata Hybrid,2021,Hyundai,Hybrid Electric,,,47.0,Automatic,2.0L
Sedan/Wagon,Sonata Hybrid Blue,2021,Hyundai,Hybrid Electric,,,52.0,Automatic,2.0L
SUV,E-PACE MHEV,2021,Jaguar,Hybrid Electric,,,23.0,Automatic,2.0L
SUV,F-PACE P340 MHEV,2021,Jaguar,Hybrid Electric,,,22.0,Automatic,3.0L
SUV,F-PACE P400 MHEV,2021,Jaguar,Hybrid Electric,,,22.0,Automatic,3.0L
SUV,I-PACE EV400,2021,Jaguar,Electric,234.0,76.0,,Automatic,
SUV,Wrangler 2dr 4x4,2021,Jeep,Hybrid Electric,,,21.0,Automatic,3.6L
SUV,Wrangler 4dr 4x4,2021,Jeep,Hybrid Electric,,,21.0,Automatic,3.6L
SUV,Wrangler 4dr 4xe,2021,Jeep,Plug-in Hybrid Electric,22.0,49.0,20.0,Automatic,2.0L
Sedan/Wagon,K27,2021,Kandi,Electric,59.0,114.0,,Automatic,20 kW electric motor
Sedan/Wagon,"GS-6 (21"" wheels)",2021,Karma,Plug-in Hybrid Electric,61.0,70.0,26.0,Automatic,1.5L
Sedan/Wagon,"Revero GT (21"" wheels)",2021,Karma,Plug-in Hybrid Electric,61.0,70.0,26.0,Automatic,1.5L
Sedan/Wagon,Niro,2021,Kia,Hybrid Electric,,,49.0,Automatic,1.6L
Sedan/Wagon,Niro Electric,2021,Kia,Electric,239.0,112.0,,Automatic,150 kW electric motor
Sedan/Wagon,Niro FE,2021,Kia,Hybrid Electric,,,50.0,Automatic,1.6L
Sedan/Wagon,Niro Plug-in Hybrid,2021,Kia,Plug-in Hybrid Electric,26.0,105.0,46.0,Automatic,1.6L
Sedan/Wagon,Niro Touring,2021,Kia,Hybrid Electric,,,43.0,Automatic,1.6L
SUV,Sorento Hybrid,2021,Kia,Hybrid Electric,,,37.0,Automatic,1.6L
SUV,Defender 110 MHEV,2021,Land Rover,Hybrid Electric,,,19.0,Automatic,3.0L
SUV,Defender 90 MHEV,2021,Land Rover,Hybrid Electric,,,19.0,Automatic,3.0L
SUV,Discovery MHEV,2021,Land Rover,Hybrid Electric,,,21.0,Automatic,3.0L
SUV,Range Rover ,2021,Land Rover,Biodiesel (B20),,,24.0,Automatic,3.0L
SUV,Range Rover MHEV,2021,Land Rover,Hybrid Electric,,,20.0,Automatic,3.0L
SUV,Range Rover PHEV,2021,Land Rover,Plug-in Hybrid Electric,19.0,42.0,19.0,Automatic,2.0L
SUV,Range Rover Sport,2021,Land Rover,Biodiesel (B20),,,24.0,Automatic,3.0L
SUV,Range Rover Sport MHEV,2021,Land Rover,Hybrid Electric,,,21.0,Automatic,3.0L
SUV,Range Rover Sport PHEV,2021,Land Rover,Plug-in Hybrid Electric,19.0,42.0,20.0,Automatic,2.0L
SUV,Range Rover Velar P340 MHEV,2021,Land Rover,Hybrid Electric,,,22.0,Automatic,3.0L
SUV,Range Rover Velar P400 MHEV,2021,Land Rover,Hybrid Electric,,,21.0,Automatic,3.0L
Sedan/Wagon,ES 300h,2021,Lexus,Hybrid Electric,,,44.0,Automatic,2.5L
Sedan/Wagon,LC 500h,2021,Lexus,Hybrid Electric,,,29.0,Automatic,3.5L
Sedan/Wagon,LS 500h,2021,Lexus,Hybrid Electric,,,28.0,Automatic,3.5L
Sedan/Wagon,LS 500h AWD,2021,Lexus,Hybrid Electric,,,26.0,Automatic,3.5L
SUV,NX 300h AWD,2021,Lexus,Hybrid Electric,,,31.0,Automatic,2.5L
SUV,RX 450h AWD,2021,Lexus,Hybrid Electric,,,30.0,Automatic,3.5L
SUV,RX 450h L AWD,2021,Lexus,Hybrid Electric,,,29.0,Automatic,3.5L
Sedan/Wagon,UX 250h,2021,Lexus,Hybrid Electric,,,42.0,Automatic,2.0L
Sedan/Wagon,UX 250h AWD,2021,Lexus,Hybrid Electric,,,39.0,Automatic,2.0L
SUV,Aviator AWD PHEV,2021,Lincoln,Plug-in Hybrid Electric,21.0,56.0,23.0,Automatic,3.0L
SUV,Corsair AWD PHEV,2021,Lincoln,Plug-in Hybrid Electric,28.0,78.0,33.0,Automatic,2.5L
Sedan/Wagon,AMG CLS 53 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,,,23.0,Automatic,3.0L
Sedan/Wagon,AMG E53 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,,,25.0,Automatic,3.0L
Sedan/Wagon,AMG E53 4MATIC+ (Convertible),2021,Mercedes-Benz,Hybrid Electric,,,23.0,Automatic,3.0L
Sedan/Wagon,AMG E53 4MATIC+ (Coupe),2021,Mercedes-Benz,Hybrid Electric,,,24.0,Automatic,3.0L
SUV,AMG GLE 53 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,,,19.0,Automatic,3.0L
SUV,AMG GLE 53 4MATIC+ Coupe,2021,Mercedes-Benz,Hybrid Electric,,,20.0,Automatic,3.0L
SUV,AMG GLE 63 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,,,16.0,Automatic,4.0L
SUV,AMG GLE 63 S 4MATIC+ Coupe,2021,Mercedes-Benz,Hybrid Electric,,,17.0,Automatic,4.0L
SUV,AMG GLS 63 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,,,16.0,Automatic,4.0L
Sedan/Wagon,AMG GT 43 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,,,22.0,Automatic,3.0L
Sedan/Wagon,AMG GT 53 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,,,22.0,Automatic,3.0L
Sedan/Wagon,CLS 450,2021,Mercedes-Benz,Hybrid Electric,,,26.0,Automatic,3.0L
Sedan/Wagon,CLS 450 4MATIC,2021,Mercedes-Benz,Hybrid Electric,,,25.0,Automatic,3.0L
Sedan/Wagon,E 450 4MATIC,2021,Mercedes-Benz,Hybrid Electric,,,26.0,Automatic,3.0L
Sedan/Wagon,E 450 4MATIC All-Terrain (wagon),2021,Mercedes-Benz,Hybrid Electric,,,24.0,Automatic,3.0L
Sedan/Wagon,E 450 4MATIC (Convertible),2021,Mercedes-Benz,Hybrid Electric,,,25.0,Automatic,3.0L
Sedan/Wagon,E 450 4MATIC (Coupe),2021,Mercedes-Benz,Hybrid Electric,,,25.0,Automatic,3.0L
Sedan/Wagon,E 450 (Convertible),2021,Mercedes-Benz,Hybrid Electric,,,25.0,Automatic,3.0L
Sedan/Wagon,E 450 (Coupe),2021,Mercedes-Benz,Hybrid Electric,,,26.0,Automatic,3.0L
SUV,GLE 450 4MATIC,2021,Mercedes-Benz,Hybrid Electric,,,23.0,Automatic,3.0L
SUV,GLE 580 4MATIC,2021,Mercedes-Benz,Hybrid Electric,,,19.0,Automatic,4.0L
SUV,GLS 450 4MATIC,2021,Mercedes-Benz,Hybrid Electric,,,21.0,Automatic,3.0L
SUV,GLS 580 4MATIC,2021,Mercedes-Benz,Hybrid Electric,,,18.0,Automatic,4.0L
SUV,GLS 600 4MATIC Maybach,2021,Mercedes-Benz,Hybrid Electric,,,16.0,Automatic,4.0L
Sedan/Wagon,S 500 4MATIC,2021,Mercedes-Benz,Hybrid Electric,,,24.0,Automatic,3.0L
Sedan/Wagon,S 580 4MATIC,2021,Mercedes-Benz,Hybrid Electric,,,20.0,Automatic,4.0L
Sedan/Wagon,S 580 4MATIC Maybach,2021,Mercedes-Benz,Hybrid Electric,,,19.0,Automatic,4.0L
Sedan/Wagon,Cooper SE Countryman ALL4,2021,Mini,Plug-in Hybrid Electric,18.0,73.0,29.0,Automatic,1.5L
Sedan/Wagon,Cooper SE Hardtop 2 door,2021,Mini,Electric,110.0,108.0,,Automatic,135 kW electric motor
SUV,Outlander PHEV,2021,Mitsubishi,Plug-in Hybrid Electric,24.0,74.0,26.0,Automatic,2.4L
Sedan/Wagon,Leaf (40 kWh battery pack),2021,Nissan,Electric,149.0,111.0,,Automatic,110 kW electric motor
Sedan/Wagon,Leaf (62 kWh battery pack),2021,Nissan,Electric,226.0,108.0,,Automatic,160 kW electric motor
Sedan/Wagon,Leaf SV/SL (62 kWh battery pack),2021,Nissan,Electric,215.0,104.0,,Automatic,160 kW electric motor
Sedan/Wagon,Polestar 2,2021,Polestar Automotive USA,Electric,233.0,92.0,,Automatic,
Sedan/Wagon,Polestar I,2021,Polestar Automotive USA,Plug-in Hybrid Electric,52.0,58.0,26.0,Automatic,2.0L
SUV,Cayenne e-Hybrid,2021,Porsche,Plug-in Hybrid Electric,17.0,46.0,21.0,Automatic,3.0L 
SUV,Cayenne e-Hybrid Coupe,2021,Porsche,Plug-in Hybrid Electric,17.0,46.0,21.0,Automatic,3.0L 
SUV,Cayenne Turbo S e-Hybrid,2021,Porsche,Plug-in Hybrid Electric,15.0,42.0,18.0,Automatic,4.0L
SUV,Cayenne Turbo S e-Hybrid Coupe,2021,Porsche,Plug-in Hybrid Electric,15.0,42.0,18.0,Automatic,4.0L
Sedan/Wagon,Panamera 4 E-Hybrid,2021,Porsche,Plug-in Hybrid Electric,19.0,52.0,22.0,Automatic,2.9L
Sedan/Wagon,Panamera 4 E-Hybrid Executive,2021,Porsche,Plug-in Hybrid Electric,19.0,52.0,22.0,Automatic,2.9L
Sedan/Wagon,Panamera 4 E-Hybrid ST,2021,Porsche,Plug-in Hybrid Electric,19.0,52.0,22.0,Automatic,2.9L
Sedan/Wagon,Panamera 4S E-Hybrid,2021,Porsche,Plug-in Hybrid Electric,19.0,50.0,22.0,Automatic,2.9L
Sedan/Wagon,Panamera 4S E-Hybrid Executive,2021,Porsche,Plug-in Hybrid Electric,19.0,50.0,22.0,Automatic,2.9L
Sedan/Wagon,Panamera 4S E-Hybrid ST,2021,Porsche,Plug-in Hybrid Electric,19.0,50.0,22.0,Automatic,2.9L
Sedan/Wagon,Panamera Turbo S E-Hybrid,2021,Porsche,Plug-in Hybrid Electric,17.0,48.0,19.0,Automatic,4.0L
Sedan/Wagon,Panamera Turbo S E-Hybrid Executive,2021,Porsche,Plug-in Hybrid Electric,17.0,48.0,19.0,Automatic,4.0L
Sedan/Wagon,Panamera Turbo S E-Hybrid ST,2021,Porsche,Plug-in Hybrid Electric,17.0,48.0,19.0,Automatic,4.0L
Sedan/Wagon,Taycan 4S Perf Battery,2021,Porsche,Electric,199.0,79.0,,Automatic,194 and 280 kW electric motors
Sedan/Wagon,Taycan 4S Perf Battery Plus,2021,Porsche,Electric,227.0,77.0,,Automatic,210 and 250 kW electric motors
Sedan/Wagon,Taycan Perf Battery,2021,Porsche,Electric,200.0,79.0,,Automatic,240 kW electric motor
Sedan/Wagon,Taycan Perf Battery Plus,2021,Porsche,Electric,225.0,75.0,,Automatic,280 kW electric motor
Sedan/Wagon,Taycan Turbo,2021,Porsche,Electric,212.0,73.0,,Automatic,
Sedan/Wagon,Taycan Turbo S,2021,Porsche,Electric,201.0,70.0,,Automatic,
Pickup,1500 2WD,2021,Ram,Hybrid Electric,,,22.0,Automatic,3.6L
Pickup,1500 4WD,2021,Ram,Hybrid Electric,,,21.0,Automatic,3.6L
Pickup,1500 HFE 4X2,2021,Ram,Hybrid Electric,,,23.0,Automatic,3.6L
SUV,Crosstrek Hybrid AWD,2021,Subaru,Plug-in Hybrid Electric,17.0,90.0,35.0,Automatic,2.0L
Sedan/Wagon,Model 3 Long Range AWD,2021,Tesla,Electric,353.0,134.0,,Automatic,131 and 190 kW electric motors
Sedan/Wagon,Model 3 Performance AWD,2021,Tesla,Electric,315.0,113.0,,Automatic,131 and 190 kW electric motors
Sedan/Wagon,Model 3 Standard Range Plus RWD,2021,Tesla,Electric,263.0,142.0,,Automatic,198 kW electric motor
Sedan/Wagon,Model S Long Range,2021,Tesla,Electric,405.0,120.0,,Automatic,179 kW and 186 kW electric motor
Sedan/Wagon,"Model S Performance (19"" Wheels)",2021,Tesla,Electric,387.0,110.0,,Automatic,149 kW and 276 kW electric motor
Sedan/Wagon,"Model S Plaid (21"" Wheels)",2021,Tesla,Electric,348.0,101.0,,Automatic,250 kW electric motors (X3)
SUV,Model X Long Range Plus,2021,Tesla,Electric,371.0,105.0,,Automatic,180 and 189 kW electric motor
SUV,"Model X Performance (20"" Wheels)",2021,Tesla,Electric,341.0,97.0,,Automatic,151 and 273 kW electric motors
SUV,Model Y Long Range AWD,2021,Tesla,Electric,326.0,125.0,,Automatic,69 and 201 kW electric motors
SUV,Model Y Performance AWD,2021,Tesla,Electric,303.0,111.0,,Automatic,133 and 179 kW electric motors
SUV,Model Y Standard Range RWD,2021,Tesla,Electric,244.0,129.0,,Automatic,209 kW electric motor
Sedan/Wagon,Avalon Hybrid,2021,Toyota,Hybrid Electric,,,43.0,Automatic,2.5L
Sedan/Wagon,Avalon Hybrid XLE,2021,Toyota,Hybrid Electric,,,44.0,Automatic,2.5L
Sedan/Wagon,Camry Hybrid LE,2021,Toyota,Hybrid Electric,,,52.0,Automatic,2.5L
Sedan/Wagon,Camry Hybrid SE/XLE/XSE,2021,Toyota,Hybrid Electric,,,46.0,Automatic,2.5L
Sedan/Wagon,Corolla Hybrid,2021,Toyota,Hybrid Electric,,,52.0,Automatic,1.8L
SUV,Highlander Hybrid,2021,Toyota,Hybrid Electric,,,36.0,Automatic,2.5L
SUV,Highlander Hybrid AWD,2021,Toyota,Hybrid Electric,,,35.0,Automatic,2.5L
SUV,Highlander Hybrid AWD LTD/PLAT,2021,Toyota,Hybrid Electric,,,35.0,Automatic,2.5L
Sedan/Wagon,Mirai Limited,2021,Toyota,Hydrogen Fuel Cell,,65.0,,Automatic,134 kW electric motor
Sedan/Wagon,Mirai XLE,2021,Toyota,Hydrogen Fuel Cell,,72.0,,Automatic,134 kW electric motor
Sedan/Wagon,Prius,2021,Toyota,Hybrid Electric,,,52.0,Automatic,1.8L
Sedan/Wagon,Prius AWD,2021,Toyota,Hybrid Electric,,,49.0,Automatic,1.8L
Sedan/Wagon,Prius Eco,2021,Toyota,Hybrid Electric,,,56.0,Automatic,1.8L
Sedan/Wagon,Prius Prime,2021,Toyota,Plug-in Hybrid Electric,25.0,133.0,54.0,Automatic,1.8L
SUV,RAV4 Hybrid AWD,2021,Toyota,Hybrid Electric,,,40.0,Automatic,2.5L
Sedan/Wagon,RAV4 Prime AWD,2021,Toyota,Plug-in Hybrid Electric,42.0,94.0,38.0,Automatic,2.5L
Van,Sienna,2021,Toyota,Hybrid Electric,,,36.0,Automatic,2.5L
Van,Sienna AWD,2021,Toyota,Hybrid Electric,,,35.0,Automatic,2.5L
SUV,Venza AWD,2021,Toyota,Hybrid Electric,,,39.0,Automatic,2.5L
SUV,ID.4 1st,2021,Volkswagen,Electric,250.0,97.0,,Automatic,150 kW electric motor
SUV,ID.4 AWD Pro,2021,Volkswagen,Electric,249.0,97.0,,Automatic,80 and 150 kW electric motors
SUV,ID.4 Pro,2021,Volkswagen,Electric,260.0,99.0,,Automatic,150 kW electric motor
SUV,ID.4 Pro S,2021,Volkswagen,Electric,250.0,97.0,,Automatic,150 kW electric motor
SUV,ID.4 Pro S AWD ,2021,Volkswagen,Electric,240.0,93.0,,Automatic,80 and 150 kW electric motors
Sedan/Wagon,S60 AWD,2021,Volvo,Plug-in Hybrid Electric,22.0,69.0,30.0,Automatic,2.0L
Sedan/Wagon,S90 AWD,2021,Volvo,Plug-in Hybrid Electric,21.0,60.0,30.0,Automatic,2.0L
SUV,V60 AWD,2021,Volvo,Plug-in Hybrid Electric,22.0,69.0,30.0,Automatic,2.0L
SUV,XC40 Recharge,2021,Volvo,Electric,208.0,79.0,,Automatic,
SUV,XC60 AWD,2021,Volvo,Plug-in Hybrid Electric,19.0,57.0,27.0,Automatic,2.0L
SUV,XC90 AWD,2021,Volvo,Plug-in Hybrid Electric,18.0,55.0,27.0,Automatic,2.0L
